Suit_1,Suit_2,Suit_3,Suit_4,Pr_suit_1,Pr_suit_2,Pr_suit_3,Pr_suit_4,Pr_10_1,Pr_10_2,Pr_10_3,Pr_10_4
4.0,1.0,0.0,4.0,0.148,0.372,0.372,0.108,0.8,0.625,0.531,0.773
4.0,1.0,1.0,0.0,0.194,0.465,0.147,0.194,0.844,0.692,0.586,0.531
4.0,1.0,1.0,1.0,0.184,0.448,0.184,0.184,0.828,0.667,0.586,0.586
4.0,1.0,1.0,2.0,0.171,0.426,0.231,0.171,0.81,0.64,0.586,0.646
4.0,1.0,1.0,3.0,0.157,0.397,0.289,0.157,0.792,0.613,0.586,0.708
4.0,1.0,1.0,4.0,0.139,0.361,0.361,0.139,0.773,0.586,0.586,0.773
4.0,1.0,2.0,0.0,0.181,0.441,0.136,0.242,0.83,0.67,0.646,0.531
4.0,1.0,2.0,1.0,0.171,0.426,0.171,0.231,0.81,0.64,0.646,0.586
4.0,1.0,2.0,2.0,0.16,0.406,0.217,0.217,0.789,0.609,0.646,0.646
4.0,1.0,2.0,3.0,0.146,0.38,0.275,0.2,0.766,0.576,0.646,0.708
4.0,1.0,2.0,4.0,0.129,0.346,0.346,0.18,0.741,0.544,0.646,0.773
4.0,1.0,3.0,0.0,0.166,0.411,0.123,0.301,0.815,0.647,0.708,0.531
4.0,1.0,3.0,1.0,0.157,0.397,0.157,0.289,0.792,0.613,0.708,0.586
4.0,1.0,3.0,2.0,0.146,0.38,0.2,0.275,0.766,0.576,0.708,0.646
4.0,1.0,3.0,3.0,0.132,0.356,0.256,0.256,0.737,0.538,0.708,0.708
4.0,1.0,3.0,4.0,0.117,0.325,0.325,0.232,0.706,0.5,0.708,0.773
4.0,1.0,4.0,0.0,0.148,0.372,0.108,0.372,0.8,0.625,0.773,0.531
4.0,1.0,4.0,1.0,0.139,0.361,0.139,0.361,0.773,0.586,0.773,0.586
4.0,1.0,4.0,2.0,0.129,0.346,0.18,0.346,0.741,0.544,0.773,0.646
4.0,1.0,4.0,3.0,0.117,0.325,0.232,0.325,0.706,0.5,0.773,0.708
4.0,1.0,4.0,4.0,0.104,0.299,0.299,0.299,0.667,0.455,0.773,0.773
4.0,2.0,0.0,0.0,0.253,0.457,0.145,0.145,0.857,0.763,0.489,0.489
4.0,2.0,0.0,1.0,0.242,0.441,0.181,0.136,0.844,0.743,0.489,0.544
4.0,2.0,0.0,2.0,0.228,0.42,0.228,0.125,0.83,0.723,0.489,0.606
4.0,2.0,0.0,3.0,0.21,0.392,0.285,0.113,0.815,0.702,0.489,0.672
4.0,2.0,0.0,4.0,0.189,0.356,0.356,0.1,0.8,0.682,0.489,0.741
4.0,2.0,1.0,0.0,0.242,0.441,0.136,0.181,0.844,0.743,0.544,0.489
4.0,2.0,1.0,1.0,0.231,0.426,0.171,0.171,0.828,0.72,0.544,0.544
4.0,2.0,1.0,2.0,0.217,0.406,0.217,0.16,0.81,0.696,0.544,0.606
4.0,2.0,1.0,3.0,0.2,0.38,0.275,0.146,0.792,0.671,0.544,0.672
4.0,2.0,1.0,4.0,0.18,0.346,0.346,0.129,0.773,0.646,0.544,0.741
4.0,2.0,2.0,0.0,0.228,0.42,0.125,0.228,0.83,0.723,0.606,0.489
4.0,2.0,2.0,1.0,0.217,0.406,0.16,0.217,0.81,0.696,0.606,0.544
4.0,2.0,2.0,2.0,0.204,0.388,0.204,0.204,0.789,0.667,0.606,0.606
4.0,2.0,2.0,3.0,0.188,0.363,0.261,0.188,0.766,0.636,0.606,0.672
4.0,2.0,2.0,4.0,0.168,0.332,0.332,0.168,0.741,0.606,0.606,0.741
4.0,2.0,3.0,0.0,0.21,0.392,0.113,0.285,0.815,0.702,0.672,0.489
4.0,2.0,3.0,1.0,0.2,0.38,0.146,0.275,0.792,0.671,0.672,0.544
4.0,2.0,3.0,2.0,0.188,0.363,0.188,0.261,0.766,0.636,0.672,0.606
4.0,2.0,3.0,3.0,0.173,0.341,0.243,0.243,0.737,0.6,0.672,0.672
4.0,2.0,3.0,4.0,0.155,0.312,0.312,0.22,0.706,0.562,0.672,0.741
4.0,2.0,4.0,0.0,0.189,0.356,0.1,0.356,0.8,0.682,0.741,0.489
4.0,2.0,4.0,1.0,0.18,0.346,0.129,0.346,0.773,0.646,0.741,0.544
4.0,2.0,4.0,2.0,0.168,0.332,0.168,0.332,0.741,0.606,0.741,0.606
4.0,2.0,4.0,3.0,0.155,0.312,0.22,0.312,0.706,0.562,0.741,0.672
4.0,2.0,4.0,4.0,0.139,0.287,0.287,0.287,0.667,0.517,0.741,0.741
4.0,3.0,0.0,0.0,0.312,0.425,0.131,0.131,0.857,0.811,0.444,0.444
4.0,3.0,0.0,1.0,0.301,0.411,0.166,0.123,0.844,0.794,0.444,0.5
4.0,3.0,0.0,2.0,0.285,0.392,0.21,0.113,0.83,0.777,0.444,0.562
4.0,3.0,0.0,3.0,0.266,0.367,0.266,0.102,0.815,0.759,0.444,0.632
4.0,3.0,0.0,4.0,0.241,0.335,0.335,0.089,0.8,0.741,0.444,0.706
4.0,3.0,1.0,0.0,0.301,0.411,0.123,0.166,0.844,0.794,0.5,0.444
4.0,3.0,1.0,1.0,0.289,0.397,0.157,0.157,0.828,0.774,0.5,0.5
4.0,3.0,1.0,2.0,0.275,0.38,0.2,0.146,0.81,0.753,0.5,0.562
4.0,3.0,1.0,3.0,0.256,0.356,0.256,0.132,0.792,0.731,0.5,0.632
4.0,3.0,1.0,4.0,0.232,0.325,0.325,0.117,0.773,0.708,0.5,0.706
4.0,3.0,2.0,0.0,0.285,0.392,0.113,0.21,0.83,0.777,0.562,0.444
4.0,3.0,2.0,1.0,0.275,0.38,0.146,0.2,0.81,0.753,0.562,0.5
4.0,3.0,2.0,2.0,0.261,0.363,0.188,0.188,0.789,0.727,0.562,0.563
4.0,3.0,2.0,3.0,0.243,0.341,0.243,0.173,0.766,0.7,0.562,0.632
4.0,3.0,2.0,4.0,0.22,0.312,0.312,0.155,0.741,0.672,0.562,0.706
4.0,3.0,3.0,0.0,0.266,0.367,0.102,0.266,0.815,0.759,0.632,0.444
4.0,3.0,3.0,1.0,0.256,0.356,0.132,0.256,0.792,0.731,0.632,0.5
4.0,3.0,3.0,2.0,0.243,0.341,0.173,0.243,0.766,0.7,0.632,0.562
4.0,3.0,3.0,3.0,0.226,0.321,0.226,0.226,0.737,0.667,0.632,0.632
4.0,3.0,3.0,4.0,0.205,0.295,0.295,0.205,0.706,0.632,0.632,0.706
4.0,3.0,4.0,0.0,0.241,0.335,0.089,0.335,0.8,0.741,0.706,0.444
4.0,3.0,4.0,1.0,0.232,0.325,0.117,0.325,0.773,0.708,0.706,0.5
4.0,3.0,4.0,2.0,0.22,0.312,0.155,0.312,0.741,0.672,0.706,0.563
4.0,3.0,4.0,3.0,0.205,0.295,0.205,0.295,0.706,0.632,0.706,0.632
4.0,3.0,4.0,4.0,0.186,0.271,0.271,0.271,0.667,0.588,0.706,0.706
4.0,4.0,0.0,0.0,0.384,0.384,0.116,0.116,0.857,0.857,0.4,0.4
4.0,4.0,0.0,1.0,0.372,0.372,0.148,0.108,0.844,0.844,0.4,0.455
4.0,4.0,0.0,2.0,0.356,0.356,0.189,0.1,0.83,0.83,0.4,0.517
4.0,4.0,0.0,3.0,0.335,0.335,0.241,0.089,0.815,0.815,0.4,0.588
4.0,4.0,0.0,4.0,0.307,0.307,0.307,0.078,0.8,0.8,0.4,0.667
4.0,4.0,1.0,0.0,0.372,0.372,0.108,0.148,0.844,0.844,0.455,0.4
4.0,4.0,1.0,1.0,0.361,0.361,0.139,0.139,0.828,0.828,0.455,0.455
4.0,4.0,1.0,2.0,0.346,0.346,0.18,0.129,0.81,0.81,0.455,0.517
4.0,4.0,1.0,3.0,0.325,0.325,0.232,0.117,0.792,0.792,0.455,0.588
4.0,4.0,1.0,4.0,0.299,0.299,0.299,0.104,0.773,0.773,0.455,0.667
4.0,4.0,2.0,0.0,0.356,0.356,0.1,0.189,0.83,0.83,0.517,0.4
4.0,4.0,2.0,1.0,0.346,0.346,0.129,0.18,0.81,0.81,0.517,0.455
4.0,4.0,2.0,2.0,0.332,0.332,0.168,0.168,0.789,0.789,0.517,0.517
4.0,4.0,2.0,3.0,0.312,0.312,0.22,0.155,0.766,0.766,0.517,0.588
4.0,4.0,2.0,4.0,0.287,0.287,0.287,0.139,0.741,0.741,0.517,0.667
4.0,4.0,3.0,0.0,0.335,0.335,0.089,0.241,0.815,0.815,0.588,0.4
4.0,4.0,3.0,1.0,0.325,0.325,0.117,0.232,0.792,0.792,0.588,0.455
4.0,4.0,3.0,2.0,0.312,0.312,0.155,0.22,0.766,0.766,0.588,0.517
4.0,4.0,3.0,3.0,0.295,0.295,0.205,0.205,0.737,0.737,0.588,0.588
4.0,4.0,3.0,4.0,0.271,0.271,0.271,0.186,0.706,0.706,0.588,0.667
4.0,4.0,4.0,0.0,0.307,0.307,0.078,0.307,0.8,0.8,0.667,0.4
4.0,4.0,4.0,1.0,0.299,0.299,0.104,0.299,0.773,0.773,0.667,0.455
4.0,4.0,4.0,2.0,0.287,0.287,0.139,0.287,0.741,0.741,0.667,0.517
4.0,4.0,4.0,3.0,0.271,0.271,0.186,0.271,0.706,0.706,0.667,0.588
4.0,4.0,4.0,4.0,0.25,0.25,0.25,0.25,0.667,0.667,0.667,0.667
5.0,0.0,0.0,0.0,0.138,0.586,0.138,0.138,0.9,0.667,0.55,0.55
5.0,0.0,0.0,1.0,0.13,0.567,0.172,0.13,0.89,0.643,0.55,0.604
5.0,0.0,0.0,2.0,0.121,0.543,0.215,0.121,0.88,0.619,0.55,0.663
5.0,0.0,0.0,3.0,0.111,0.51,0.268,0.111,0.868,0.595,0.55,0.724
5.0,0.0,0.0,4.0,0.099,0.468,0.334,0.099,0.857,0.571,0.55,0.786
5.0,0.0,0.0,5.0,0.086,0.414,0.414,0.086,0.846,0.55,0.55,0.846
5.0,0.0,1.0,0.0,0.13,0.567,0.13,0.172,0.89,0.643,0.604,0.55
5.0,0.0,1.0,1.0,0.123,0.55,0.163,0.163,0.878,0.615,0.604,0.604
